industry,origin_city,dest_tier,shipments_per_day,avg_weight,avg_distance_km,pct_same_day,pct_4hr,peak_window,on_time_importance,current_provider,cur_delivery_time_hr,cur_cost_aed,fuel_cost,driver_wage,vehicle_type,maint_cost_per_km,delay_rate_pct,delay_reason,delay_churn_pct,csat_current,nps_current,repeat_rate,complaint_count,complaint_category,faster_rev_impact,sales_uplift_pct,premium_wtp,cost_vs_speed,switch_likelihood,avg_stops,return_pickups_pct,traffic_level,cold_chain_pct,cust_time_pref,speed_rankings,price_rankings,switch_reason,adoption_drivers,churn_threshold,target_cost_per_km,fuel_sensitivity_pct,desired_cost_redux,roi_months,primary_kpi
fashion,Sharjah,Tier-2 suburban,31.39,3.58,1.18,1.72,9.85,6–10 am,5,Traditional 3PL,8.23,29.4,3.06,20.05,Bike,1.43,28.3,Traffic,40.31,2,28,70.23,0,Damaged goods,Yes,15.89,2.3,Cost over speed,2,9,66,Moderate,42,Morning,"[4, 2, 1, 3, 5]","[5, 4, 3, 1, 2]",Service,CO₂ reporting,3 misses,1.96,33.47,16.86,8,Cost per delivery
e-commerce,Dubai,Tier-2 suburban,52.02,1.31,22.73,48.57,27.11,2–6 pm,2,Competitor A,5.29,37.92,3.69,23.37,Van,1.53,60.66,Customs,6.97,5,36,11.44,2,Damaged goods,No,33.21,10.52,Both equal,1,5,31,Heavy,83,Evening,"[5, 1, 2, 4, 3]","[4, 3, 5, 2, 1]",Cost,Real-time tracking,After 1 miss,2.22,17.19,24.46,6,Cost per delivery
pharma,Sharjah,Tier-1 urban,1.0,4.99,27.65,10.2,23.49,10 am–2 pm,1,Competitor B,4.82,29.83,2.92,26.08,Bike,1.58,23.03,Driver shortage,26.4,8,-33,21.02,2,Late delivery,Yes,24.0,4.39,Both equal,5,4,68,Moderate,19,Afternoon,"[2, 1, 3, 4, 5]","[3, 2, 1, 4, 5]",Speed,AI ETA accuracy,After 1 miss,2.25,22.65,9.05,3,Delivery time
groceries,Dubai,Rural,1.0,4.42,7.35,9.7,24.96,10 am–2 pm,5,In-house,7.03,37.98,3.82,23.83,Bike,1.71,67.4,Driver shortage,41.28,1,78,14.3,1,Other,No,36.32,3.8,Both equal,3,4,92,Light,20,Morning,"[3, 1, 2, 4, 5]","[5, 1, 2, 3, 4]",Cost,"AI ETA accuracy, CO₂ reporting",5 misses,2.31,32.02,11.74,1,On-time %
groceries,Ras Al Khaimah,Tier-2 suburban,45.37,3.02,45.5,9.66,55.17,6–10 am,2,Competitor B,5.69,22.14,3.97,19.01,Van,1.56,9.58,Driver shortage,11.8,3,-1,14.32,1,Damaged goods,No,26.6,4.2,Cost over speed,2,7,56,Moderate,14,Evening,"[5, 1, 3, 4, 2]","[2, 4, 1, 5, 3]",Speed,"24/7 support, AI ETA accuracy",3 misses,2.46,35.72,38.41,10,CSAT
e-commerce,Dubai,Rural,45.75,3.94,45.21,49.69,7.49,10 am–2 pm,5,Competitor A,4.02,20.48,3.47,26.57,Truck,1.73,22.52,Traffic,19.75,3,99,26.74,1,Late delivery,No,13.95,4.96,Both equal,2,1,52,Heavy,8,Afternoon,"[3, 2, 5, 1, 4]","[4, 1, 5, 2, 3]",Speed,"24/7 support, COD handling, AI ETA accuracy",5 misses,2.72,39.18,2.41,3,Delivery time
e-commerce,Ajman,Tier-2 suburban,50.5,8.51,12.8,16.72,9.63,2–6 pm,1,Competitor B,4.44,5.0,2.81,19.53,Bike,1.99,26.44,Traffic,29.79,4,-54,38.67,0,Late delivery,No,52.65,1.27,Cost over speed,3,6,52,Moderate,59,Evening,"[3, 4, 5, 2, 1]","[2, 5, 4, 1, 3]",Cost,"COD handling, CO₂ reporting, AI ETA accuracy",5 misses,2.53,25.92,15.46,10,Delivery time
electronics,Ajman,Tier-1 urban,141.64,7.12,13.06,14.54,25.15,10 am–2 pm,5,Competitor B,4.35,23.0,3.79,22.16,Van,1.18,10.7,Traffic,34.68,10,2,8.14,2,High cost,No,13.69,6.73,Both equal,3,4,55,Moderate,31,Evening,"[5, 1, 3, 4, 2]","[1, 5, 2, 4, 3]",Speed,"24/7 support, AI ETA accuracy, COD handling",Would stay,3.08,31.85,7.8,3,CSAT
pharma,Ras Al Khaimah,Tier-1 urban,36.23,3.46,19.74,24.64,48.3,6–10 pm,5,Competitor B,2.12,35.66,2.84,29.97,Bike,0.76,18.41,Customs,29.92,10,97,29.32,0,Damaged goods,Yes,18.34,8.35,Cost over speed,1,2,2,Moderate,13,Morning,"[1, 4, 5, 2, 3]","[4, 2, 5, 1, 3]",Speed,"Real-time tracking, CO₂ reporting, 24/7 support",Would stay,2.27,40.74,37.13,9,Delivery time
groceries,Abu Dhabi,Tier-2 suburban,22.95,1.15,27.83,39.32,22.82,6–10 am,2,Traditional 3PL,2.63,40.64,3.1,29.63,Truck,4.67,13.97,Driver shortage,12.06,8,-33,9.35,4,Late delivery,Yes,40.02,4.87,Cost over speed,2,5,2,Moderate,29,Evening,"[1, 4, 2, 5, 3]","[2, 1, 5, 4, 3]",Reliability,"CO₂ reporting, COD handling, Real-time tracking",3 misses,2.58,38.54,18.86,8,On-time %
e-commerce,Sharjah,Rural,1.0,3.28,18.23,45.35,10.06,6–10 am,4,Traditional 3PL,5.63,17.57,3.33,17.74,Bike,1.65,38.96,Wrong routing,26.41,9,22,38.87,1,Damaged goods,Yes,8.44,5.31,Speed over cost,5,2,7,Light,87,Afternoon,"[1, 3, 5, 4, 2]","[1, 5, 4, 3, 2]",Service,"COD handling, CO₂ reporting",5 misses,2.04,27.96,34.19,1,Delivery time
groceries,Dubai,Tier-2 suburban,73.75,0.2,19.79,64.21,55.42,2–6 pm,3,Traditional 3PL,5.41,25.52,3.16,13.59,Van,1.8,31.0,Wrong routing,39.18,3,6,5.22,2,Late delivery,Yes,21.37,9.87,Cost over speed,3,7,77,Moderate,78,Afternoon,"[1, 4, 3, 2, 5]","[2, 1, 4, 5, 3]",Cost,"24/7 support, COD handling, Real-time tracking",5 misses,5.0,52.42,27.77,6,Cost per delivery
groceries,Dubai,Rural,15.5,3.14,15.11,52.86,54.18,2–6 pm,3,In-house,2.67,16.23,2.99,21.65,Truck,2.6,12.43,Customs,28.6,3,46,57.6,0,Late delivery,Yes,15.4,1.16,Cost over speed,1,7,28,Moderate,60,Morning,"[5, 4, 2, 3, 1]","[3, 2, 1, 5, 4]",Speed,"Real-time tracking, AI ETA accuracy",After 1 miss,1.95,42.18,1.49,5,CO₂ emissions
e-commerce,Abu Dhabi,Tier-1 urban,58.44,6.39,22.59,49.94,14.28,6–10 pm,3,Competitor A,7.12,28.81,3.31,28.47,Van,2.03,28.2,Traffic,14.74,10,-43,35.46,1,Damaged goods,Yes,9.68,4.69,Both equal,4,6,91,Moderate,44,Afternoon,"[1, 4, 3, 2, 5]","[4, 3, 5, 1, 2]",Speed,"Real-time tracking, 24/7 support, COD handling",5 misses,1.92,28.17,50.83,1,CSAT
pharma,Dubai,Tier-1 urban,22.81,5.4,21.68,17.65,68.7,2–6 pm,1,Competitor B,7.4,39.0,3.26,14.74,Truck,2.08,24.47,Traffic,14.86,4,96,15.15,2,Damaged goods,Yes,7.04,8.47,Both equal,2,1,89,Heavy,72,Evening,"[3, 5, 2, 4, 1]","[5, 3, 4, 2, 1]",Tech features,AI ETA accuracy,5 misses,1.31,14.53,11.4,2,Cost per delivery
e-commerce,Ras Al Khaimah,Rural,30.21,3.63,11.41,31.25,22.87,6–10 am,3,Competitor B,3.34,15.72,3.69,14.78,Truck,1.5,21.24,Traffic,8.57,7,32,6.15,3,High cost,Yes,63.52,6.35,Speed over cost,2,4,51,Moderate,97,Anytime,"[4, 2, 5, 3, 1]","[2, 1, 5, 4, 3]",Service,"COD handling, 24/7 support",After 1 miss,2.81,60.28,19.92,6,CSAT
e-commerce,Dubai,Tier-2 suburban,18.6,6.14,19.06,30.78,42.76,6–10 pm,3,Competitor B,7.0,12.67,2.99,14.67,Van,1.27,38.86,Vehicle breakdown,11.19,1,83,71.35,1,Late delivery,No,7.61,3.09,Both equal,2,6,4,Heavy,22,Afternoon,"[2, 5, 4, 3, 1]","[5, 2, 3, 1, 4]",Cost,"Real-time tracking, 24/7 support",3 misses,1.14,10.1,9.42,2,CSAT
other,Abu Dhabi,Rural,36.31,1.82,10.42,6.49,44.81,6–10 pm,3,Traditional 3PL,3.58,36.1,2.65,21.74,Van,1.15,20.59,Vehicle breakdown,60.0,4,25,31.3,0,High cost,No,18.73,7.52,Both equal,2,1,4,Moderate,86,Morning,"[2, 3, 1, 4, 5]","[5, 2, 1, 3, 4]",Speed,"CO₂ reporting, 24/7 support",After 1 miss,2.54,21.83,23.21,6,Delivery time
pharma,Sharjah,Tier-2 suburban,44.79,8.71,13.93,19.73,12.1,6–10 am,5,Traditional 3PL,6.86,13.42,3.24,26.22,Bike,1.27,34.05,Wrong routing,21.67,5,80,19.3,0,Late delivery,Yes,43.78,6.84,Both equal,1,2,70,Moderate,92,Afternoon,"[3, 2, 4, 1, 5]","[1, 3, 2, 4, 5]",Cost,"CO₂ reporting, 24/7 support, Real-time tracking",Would stay,1.3,13.62,44.72,6,CO₂ emissions
fashion,Abu Dhabi,Tier-1 urban,1.0,2.79,5.34,48.22,34.57,10 am–2 pm,2,Competitor B,9.12,7.32,2.35,24.8,Truck,2.49,38.45,Traffic,39.12,9,39,23.36,1,Late delivery,Yes,44.75,4.03,Both equal,2,7,93,Heavy,7,Morning,"[2, 5, 3, 1, 4]","[5, 2, 1, 3, 4]",Service,AI ETA accuracy,After 1 miss,5.0,48.74,12.88,1,Delivery time
pharma,Sharjah,Tier-2 suburban,45.08,2.32,34.77,6.35,42.95,10 am–2 pm,1,Competitor B,9.18,27.07,3.64,10.62,Bike,1.18,16.36,Traffic,19.75,5,93,40.01,0,Other,Yes,9.92,2.08,Cost over speed,1,5,3,Heavy,76,Afternoon,"[3, 1, 5, 4, 2]","[4, 1, 3, 2, 5]",Speed,24/7 support,3 misses,1.32,14.23,46.18,10,On-time %
electronics,Dubai,Rural,67.95,0.85,36.76,23.32,5.53,10 am–2 pm,4,Competitor A,2.75,29.32,3.91,24.56,Van,1.47,10.57,Traffic,19.92,1,-82,29.7,2,Late delivery,Yes,25.17,2.68,Both equal,1,5,48,Moderate,47,Anytime,"[5, 3, 4, 2, 1]","[1, 3, 2, 4, 5]",Reliability,AI ETA accuracy,3 misses,2.56,34.25,24.38,10,Cost per delivery
fashion,Abu Dhabi,Tier-2 suburban,45.35,3.25,20.83,25.17,35.88,6–10 pm,1,Traditional 3PL,4.34,29.44,3.34,26.06,Van,1.37,24.67,Customs,20.55,4,89,28.1,1,Damaged goods,Yes,22.65,5.76,Cost over speed,4,4,36,Light,44,Morning,"[4, 3, 5, 1, 2]","[3, 5, 1, 2, 4]",Reliability,"24/7 support, AI ETA accuracy",After 1 miss,2.3,33.47,38.63,7,Cost per delivery
groceries,Dubai,Tier-1 urban,51.06,7.61,19.33,17.03,52.36,6–10 am,2,Traditional 3PL,4.07,37.48,2.36,30.47,Van,2.04,43.1,Customs,25.56,4,-72,4.21,1,Poor support,Yes,25.07,6.34,Cost over speed,5,2,55,Moderate,34,Afternoon,"[2, 4, 1, 3, 5]","[4, 2, 1, 3, 5]",Cost,Real-time tracking,5 misses,1.93,29.4,23.13,6,Delivery time
groceries,Ras Al Khaimah,Tier-1 urban,31.45,6.41,15.08,47.54,13.19,2–6 pm,5,Traditional 3PL,4.49,21.93,2.28,14.74,Bike,1.6,40.15,Wrong routing,16.27,8,57,17.61,0,Poor support,No,48.55,6.71,Speed over cost,2,4,14,Light,85,Afternoon,"[1, 3, 4, 2, 5]","[4, 3, 1, 2, 5]",Cost,"AI ETA accuracy, 24/7 support",After 1 miss,2.37,32.2,31.71,4,Delivery time
groceries,Sharjah,Tier-2 suburban,24.52,0.9,7.19,21.61,13.74,10 am–2 pm,1,Competitor A,7.3,20.35,3.25,23.99,Van,2.0,24.8,Traffic,36.95,7,90,15.69,1,Poor support,No,41.1,4.07,Cost over speed,4,4,96,Moderate,89,Morning,"[3, 1, 5, 2, 4]","[4, 5, 3, 2, 1]",Service,"CO₂ reporting, AI ETA accuracy, Real-time tracking",3 misses,2.42,20.45,26.85,6,CO₂ emissions
pharma,Ras Al Khaimah,Tier-1 urban,119.71,9.71,9.76,31.93,19.64,10 am–2 pm,2,Competitor A,6.68,10.8,4.27,25.13,Bike,1.61,29.38,Vehicle breakdown,46.89,3,25,7.83,0,Other,Yes,34.3,4.35,Cost over speed,3,7,43,Moderate,55,Afternoon,"[2, 4, 5, 3, 1]","[3, 5, 4, 2, 1]",Cost,"24/7 support, Real-time tracking, AI ETA accuracy",After 1 miss,2.51,17.3,17.39,4,On-time %
other,Dubai,Tier-2 suburban,13.18,3.66,18.95,10.04,34.71,2–6 pm,1,In-house,6.77,27.98,2.98,22.1,Bike,2.38,60.66,Wrong routing,72.79,10,-42,25.47,1,Late delivery,No,33.33,1.0,Both equal,4,2,99,Heavy,11,Anytime,"[3, 2, 5, 4, 1]","[4, 1, 2, 5, 3]",Service,"COD handling, CO₂ reporting",3 misses,1.43,37.89,45.48,3,CO₂ emissions
fashion,Dubai,Tier-1 urban,29.47,1.5,22.79,33.57,44.9,10 am–2 pm,2,In-house,5.68,13.61,3.81,30.02,Bike,2.0,9.44,Traffic,26.58,7,-89,13.83,0,Late delivery,Yes,37.55,17.14,Speed over cost,4,8,53,Moderate,75,Morning,"[5, 3, 2, 4, 1]","[1, 5, 3, 4, 2]",Cost,AI ETA accuracy,3 misses,1.92,19.34,50.29,6,Delivery time
other,Dubai,Tier-1 urban,1.4,5.38,11.38,65.04,0.58,10 am–2 pm,2,Competitor A,8.38,29.22,3.12,20.3,Bike,1.6,46.02,Traffic,55.14,2,91,39.1,0,Late delivery,No,42.15,6.49,Both equal,2,5,94,Light,79,Evening,"[5, 4, 3, 2, 1]","[1, 5, 2, 3, 4]",Service,"Real-time tracking, CO₂ reporting",3 misses,2.6,14.75,69.79,2,On-time %
e-commerce,Dubai,Tier-2 suburban,12.09,5.47,22.47,6.56,43.78,6–10 pm,5,Competitor B,6.04,25.51,3.33,30.56,Van,1.36,10.87,Driver shortage,4.72,10,13,6.64,1,Late delivery,No,23.68,9.89,Both equal,4,1,95,Moderate,39,Morning,"[4, 2, 1, 5, 3]","[1, 5, 2, 4, 3]",Reliability,"AI ETA accuracy, Real-time tracking, CO₂ reporting",3 misses,1.55,24.32,33.21,10,On-time %
electronics,Dubai,Tier-1 urban,58.51,3.26,8.65,57.61,27.11,2–6 pm,1,Competitor B,4.71,15.25,3.68,21.05,Van,1.48,25.45,Customs,43.64,5,30,34.0,0,Damaged goods,Yes,28.2,0.91,Both equal,2,5,77,Moderate,17,Evening,"[3, 5, 2, 1, 4]","[4, 1, 5, 2, 3]",Speed,Real-time tracking,3 misses,2.0,24.64,62.01,3,Delivery time
other,Sharjah,Tier-2 suburban,1.0,2.1,17.12,24.02,2.64,10 am–2 pm,4,Competitor B,4.01,5.0,2.87,25.15,Bike,2.71,38.81,Wrong routing,31.08,7,-3,31.38,2,Late delivery,Yes,21.96,7.81,Cost over speed,3,8,59,Heavy,24,Morning,"[1, 2, 5, 3, 4]","[4, 3, 1, 2, 5]",Reliability,"COD handling, Real-time tracking, 24/7 support",After 1 miss,2.04,32.64,9.69,9,Cost per delivery
e-commerce,Dubai,Tier-1 urban,49.91,4.33,20.68,18.29,14.95,10 am–2 pm,1,Competitor A,6.35,16.84,3.03,21.56,Van,1.32,56.16,Traffic,22.29,9,-54,20.04,0,Late delivery,Yes,43.45,1.22,Cost over speed,3,2,35,Heavy,37,Morning,"[2, 1, 3, 5, 4]","[3, 5, 1, 4, 2]",Speed,COD handling,3 misses,1.38,20.44,42.54,5,CSAT
e-commerce,Abu Dhabi,Rural,75.21,4.01,31.72,34.14,8.8,10 am–2 pm,2,Traditional 3PL,4.87,34.07,2.83,16.97,Van,1.12,14.57,Traffic,26.73,5,88,12.04,0,Damaged goods,Yes,33.3,5.61,Cost over speed,3,9,53,Heavy,43,Morning,"[5, 4, 3, 1, 2]","[3, 5, 2, 1, 4]",Speed,AI ETA accuracy,After 1 miss,1.31,24.25,32.46,9,Cost per delivery
electronics,Ajman,Tier-1 urban,39.96,2.66,21.54,0.72,60.72,2–6 pm,3,Traditional 3PL,4.14,21.24,3.3,26.5,Van,0.79,32.42,Traffic,14.28,7,-35,17.76,0,Late delivery,No,10.11,5.66,Cost over speed,2,2,73,Heavy,59,Morning,"[2, 1, 4, 5, 3]","[4, 1, 5, 3, 2]",Service,"COD handling, Real-time tracking",3 misses,2.02,17.68,7.62,7,CO₂ emissions
groceries,Sharjah,Tier-1 urban,15.79,6.94,9.65,41.12,25.62,2–6 pm,2,In-house,7.19,29.97,3.47,21.29,Truck,0.77,55.47,Vehicle breakdown,14.51,5,-98,7.73,0,Late delivery,No,10.86,14.34,Both equal,1,1,81,Moderate,88,Anytime,"[3, 4, 1, 2, 5]","[5, 1, 4, 2, 3]",Cost,COD handling,Would stay,1.43,18.03,13.56,11,Cost per delivery
fashion,Dubai,Rural,47.3,6.27,14.54,12.64,25.33,10 am–2 pm,4,Competitor B,3.48,29.73,3.72,20.41,Bike,1.27,38.02,Traffic,25.02,2,-12,40.02,1,High cost,Yes,13.23,4.67,Speed over cost,2,6,4,Heavy,82,Afternoon,"[3, 2, 1, 4, 5]","[4, 5, 1, 3, 2]",Cost,"24/7 support, CO₂ reporting, Real-time tracking",5 misses,2.87,17.01,28.26,7,Delivery time
e-commerce,Dubai,Tier-2 suburban,6.2,8.27,6.39,29.59,18.52,2–6 pm,4,Traditional 3PL,2.6,29.6,2.0,18.95,Truck,1.12,44.72,Traffic,17.87,10,83,14.82,1,High cost,No,14.27,3.63,Both equal,4,5,90,Moderate,35,Evening,"[1, 2, 3, 4, 5]","[1, 3, 2, 4, 5]",Reliability,"CO₂ reporting, COD handling, Real-time tracking",After 1 miss,2.75,50.14,9.5,7,Cost per delivery
fashion,Abu Dhabi,Tier-1 urban,18.93,3.84,22.84,38.84,16.13,6–10 am,2,Traditional 3PL,1.77,69.18,2.77,38.48,Van,1.47,18.34,Driver shortage,49.11,3,-99,25.59,2,Late delivery,No,22.91,4.2,Speed over cost,4,7,69,Light,58,Anytime,"[3, 5, 1, 2, 4]","[2, 4, 3, 1, 5]",Reliability,"CO₂ reporting, COD handling, 24/7 support",After 1 miss,1.48,29.07,16.07,1,Cost per delivery
e-commerce,Dubai,Rural,8.37,3.15,14.44,15.45,41.7,6–10 am,3,Competitor A,6.61,84.95,3.54,21.82,Van,0.91,23.92,Traffic,57.94,10,-22,43.07,2,Damaged goods,Yes,26.39,4.35,Both equal,5,9,41,Light,45,Morning,"[1, 5, 2, 3, 4]","[4, 2, 1, 3, 5]",Cost,CO₂ reporting,3 misses,2.24,39.58,20.33,8,CO₂ emissions
e-commerce,Sharjah,Tier-2 suburban,8.48,5.49,35.25,45.64,64.3,10 am–2 pm,5,Competitor A,5.22,11.0,2.71,24.07,Van,1.24,18.44,Traffic,76.14,9,-42,32.27,1,Late delivery,No,18.06,9.07,Both equal,3,1,68,Moderate,14,Anytime,"[5, 3, 1, 2, 4]","[2, 4, 3, 1, 5]",Tech features,"AI ETA accuracy, Real-time tracking",After 1 miss,2.47,22.41,39.51,10,On-time %
e-commerce,Dubai,Rural,52.59,3.5,10.23,6.65,29.8,10 am–2 pm,2,Traditional 3PL,6.88,27.01,3.42,24.79,Van,1.69,23.42,Wrong routing,18.83,4,94,32.99,1,Late delivery,Yes,21.09,3.63,Cost over speed,3,9,43,Light,86,Evening,"[1, 3, 2, 4, 5]","[1, 2, 5, 3, 4]",Reliability,"COD handling, 24/7 support",3 misses,2.8,30.43,15.54,4,On-time %
fashion,Ajman,Tier-2 suburban,31.34,3.73,8.02,6.94,18.37,6–10 am,4,Competitor B,3.76,39.43,2.45,18.7,Van,1.72,39.87,Vehicle breakdown,25.25,7,75,3.27,1,Late delivery,Yes,13.12,4.89,Speed over cost,5,7,24,Heavy,65,Afternoon,"[1, 4, 2, 5, 3]","[2, 3, 1, 4, 5]",Speed,"AI ETA accuracy, CO₂ reporting",3 misses,1.84,18.22,17.82,2,CSAT
electronics,Sharjah,Tier-1 urban,47.37,5.43,9.63,13.63,41.53,2–6 pm,2,Traditional 3PL,24.0,5.0,6.0,42.22,Van,1.99,23.97,Traffic,39.53,9,-63,38.14,1,Late delivery,Yes,13.89,3.45,Both equal,1,6,3,Moderate,98,Anytime,"[2, 4, 1, 3, 5]","[3, 1, 2, 4, 5]",Speed,"CO₂ reporting, COD handling",Would stay,3.36,48.22,47.19,1,Delivery time
groceries,Sharjah,Tier-1 urban,39.59,1.46,27.84,40.27,26.35,10 am–2 pm,2,Traditional 3PL,4.74,20.73,3.63,23.4,Bike,1.28,18.43,Customs,34.86,7,-55,33.83,1,Late delivery,Yes,22.01,13.91,Both equal,4,7,81,Heavy,25,Morning,"[3, 4, 2, 1, 5]","[1, 3, 2, 5, 4]",Speed,CO₂ reporting,After 1 miss,2.95,10.32,20.77,9,Delivery time
pharma,Dubai,Tier-1 urban,4.28,2.12,14.79,8.52,5.79,2–6 pm,3,In-house,5.96,6.96,3.13,19.4,Van,0.96,55.73,Wrong routing,21.89,8,93,20.49,0,Late delivery,Yes,18.97,10.01,Speed over cost,5,5,0,Heavy,90,Morning,"[2, 3, 5, 4, 1]","[2, 3, 4, 5, 1]",Cost,AI ETA accuracy,5 misses,1.21,43.38,43.68,11,Delivery time
fashion,Dubai,Tier-2 suburban,29.18,8.47,29.9,18.3,26.02,2–6 pm,2,Competitor B,4.21,38.79,2.95,14.73,Van,2.34,42.33,Customs,55.5,6,-11,43.32,0,Damaged goods,No,8.55,4.27,Both equal,5,2,75,Heavy,37,Morning,"[3, 1, 4, 2, 5]","[1, 4, 2, 3, 5]",Reliability,Real-time tracking,Would stay,0.88,23.46,31.33,3,Delivery time
pharma,Sharjah,Tier-1 urban,15.94,6.22,10.63,63.58,26.72,2–6 pm,4,Competitor A,6.84,19.47,2.61,18.31,Van,1.83,35.73,Wrong routing,32.93,1,-74,10.77,2,Late delivery,No,57.61,9.03,Speed over cost,1,7,36,Heavy,60,Anytime,"[2, 4, 5, 1, 3]","[5, 3, 2, 4, 1]",Cost,"COD handling, 24/7 support",3 misses,1.19,35.89,27.72,5,CO₂ emissions
fashion,Abu Dhabi,Tier-1 urban,25.44,0.2,25.05,19.6,36.86,10 am–2 pm,5,In-house,2.27,29.42,3.42,24.86,Bike,2.07,57.75,Wrong routing,9.03,3,-57,64.0,0,Late delivery,Yes,19.0,7.08,Cost over speed,1,1,8,Heavy,6,Morning,"[1, 3, 2, 5, 4]","[3, 4, 1, 5, 2]",Reliability,COD handling,3 misses,1.35,40.44,36.0,6,Cost per delivery
groceries,Dubai,Tier-1 urban,33.27,1.62,8.16,7.59,25.99,10 am–2 pm,3,In-house,24.0,100.0,3.3,18.65,Bike,0.73,19.78,Customs,27.35,6,-64,33.5,1,Late delivery,Yes,36.1,12.28,Speed over cost,4,2,75,Moderate,72,Anytime,"[5, 2, 4, 3, 1]","[4, 5, 3, 1, 2]",Service,CO₂ reporting,After 1 miss,2.56,37.15,27.59,4,CSAT
pharma,Dubai,Tier-1 urban,28.9,7.58,25.36,68.23,22.82,2–6 pm,3,Traditional 3PL,22.49,22.18,2.86,13.85,Bike,1.85,34.04,Driver shortage,21.05,10,-79,6.04,1,Late delivery,Yes,19.13,7.41,Both equal,3,7,87,Moderate,4,Morning,"[2, 1, 3, 5, 4]","[1, 4, 5, 2, 3]",Tech features,"24/7 support, Real-time tracking",3 misses,2.53,46.81,31.53,3,CSAT
groceries,Dubai,Rural,39.15,2.0,23.0,43.35,4.25,10 am–2 pm,4,Traditional 3PL,2.19,5.0,3.86,16.58,Bike,1.54,32.82,Traffic,53.98,6,-52,42.47,0,Poor support,Yes,17.79,0.81,Speed over cost,4,2,81,Heavy,55,Evening,"[4, 3, 1, 5, 2]","[4, 1, 5, 2, 3]",Cost,"24/7 support, COD handling",5 misses,2.79,23.45,42.53,5,Delivery time
pharma,Sharjah,Tier-2 suburban,37.56,2.96,14.77,38.51,63.13,2–6 pm,1,Traditional 3PL,1.29,16.94,3.07,14.3,Bike,1.06,16.48,Wrong routing,51.99,6,-44,37.12,0,Other,No,51.05,5.95,Both equal,3,1,68,Heavy,43,Evening,"[2, 5, 4, 1, 3]","[5, 3, 2, 1, 4]",Reliability,AI ETA accuracy,3 misses,1.89,4.56,16.7,11,CSAT
electronics,Dubai,Tier-2 suburban,14.94,1.67,3.44,20.62,46.34,10 am–2 pm,3,In-house,5.84,36.12,3.24,20.82,Bike,1.82,30.91,Traffic,10.05,8,4,53.03,0,Late delivery,No,20.25,2.95,Both equal,5,8,53,Heavy,37,Anytime,"[4, 3, 1, 5, 2]","[4, 5, 2, 1, 3]",Tech features,Real-time tracking,After 1 miss,2.37,5.88,10.95,10,Delivery time
groceries,Abu Dhabi,Rural,37.12,4.71,20.59,34.85,30.86,10 am–2 pm,2,Competitor B,5.41,19.47,2.79,25.96,Bike,1.59,14.25,Traffic,33.97,7,-22,11.71,1,Other,No,25.99,1.72,Cost over speed,1,1,51,Heavy,63,Afternoon,"[1, 3, 5, 2, 4]","[1, 2, 4, 5, 3]",Cost,"24/7 support, CO₂ reporting",5 misses,1.7,30.21,20.66,1,CO₂ emissions
e-commerce,Abu Dhabi,Tier-2 suburban,69.75,0.2,16.27,32.14,13.65,2–6 pm,4,Traditional 3PL,6.28,25.46,3.33,10.0,Van,2.14,26.23,Vehicle breakdown,11.87,3,93,23.8,0,Late delivery,Yes,10.61,2.77,Both equal,5,9,15,Moderate,87,Afternoon,"[1, 2, 5, 3, 4]","[1, 3, 4, 5, 2]",Cost,"CO₂ reporting, Real-time tracking",After 1 miss,2.17,32.56,33.14,6,CSAT
fashion,Abu Dhabi,Rural,24.08,2.13,8.35,11.81,31.77,6–10 pm,3,Competitor A,6.62,5.0,3.45,16.16,Truck,1.0,33.53,Driver shortage,40.89,5,-7,27.55,1,Damaged goods,No,20.98,2.18,Speed over cost,2,1,29,Heavy,39,Anytime,"[3, 1, 5, 2, 4]","[5, 3, 4, 2, 1]",Cost,"COD handling, CO₂ reporting",After 1 miss,0.73,7.38,11.24,6,CSAT
pharma,Ajman,Tier-1 urban,5.73,4.5,24.93,8.53,10.79,6–10 am,4,Competitor B,2.58,12.39,2.41,21.12,Truck,1.67,21.25,Traffic,25.76,5,80,12.32,1,High cost,No,25.31,5.25,Both equal,4,3,3,Heavy,23,Anytime,"[1, 5, 4, 3, 2]","[2, 5, 1, 3, 4]",Cost,CO₂ reporting,3 misses,1.33,35.96,44.25,7,Delivery time
groceries,Ajman,Tier-1 urban,30.01,9.36,17.68,36.91,51.98,6–10 am,1,Traditional 3PL,2.49,24.38,2.75,23.25,Bike,1.18,18.88,Traffic,18.96,9,98,6.12,0,Late delivery,Yes,8.4,6.06,Speed over cost,4,2,75,Moderate,86,Morning,"[5, 2, 4, 1, 3]","[3, 5, 1, 2, 4]",Speed,"24/7 support, AI ETA accuracy, COD handling",3 misses,2.92,13.12,16.48,10,CSAT
other,Abu Dhabi,Tier-1 urban,50.88,2.61,16.45,51.8,19.45,2–6 pm,2,Competitor B,4.4,31.9,3.04,25.13,Bike,1.7,14.61,Wrong routing,7.52,7,-2,6.14,0,Late delivery,Yes,6.72,5.53,Cost over speed,5,2,81,Moderate,41,Evening,"[4, 2, 3, 1, 5]","[1, 2, 5, 3, 4]",Tech features,CO₂ reporting,3 misses,2.61,29.61,25.72,8,On-time %
